"model_ref","workflow_file","node_label"
"Flux.2\flux-2-klein-4B-360-erp-outpaint-lora_V1.safetensors","workflows\flux-2-klein-4B-360-erp-outpaint.json","LoraLoaderModelOnly"
"Flux.2\flux-2-klein-base-4b.safetensors","workflows\flux-2-klein-4B-360-erp-outpaint.json","UNETLoader"
"Flux\ae2.safetensors","workflows-png\SampleFlex2devChkpt.png","Load VAE (VAELoader)"
"Flux\Aesthetic_Amateur_Photo_V3.safetensors","workflows\workflow-flux-controlnet-upscale-XsEKTG1cvnRXYdsPsQVc-cychenyue-openart.ai.json","LoraLoaderModelOnly"
"flux\alimama-creative-FLUX.1-dev-Controlnet-Inpainting-Beta.safetensors","workflows\workflow-flux-outpaint-SmhSmKC1lRFzI0gd42QR-datou-openart.ai.json","ControlNetLoader"
"flux\alimama-creative-FLUX.1-Turbo-Alpha.safetensors","workflows\workflow-flux-outpaint-SmhSmKC1lRFzI0gd42QR-datou-openart.ai.json","LoraLoader"
"FLUX\flux.1-controlnet-Upscaler.safetensors","workflows\workflow-flux-controlnet-upscale-XsEKTG1cvnRXYdsPsQVc-cychenyue-openart.ai.json","ControlNetLoader"
"Flux\Flux_Ultimator.safetensors","workflows\workflow-flux-controlnet-upscale-XsEKTG1cvnRXYdsPsQVc-cychenyue-openart.ai.json","LoraLoaderModelOnly"
"flux\flux1-fill-dev-OneRewardDynamic-Q8_0.gguf","workflows\workflow-flux-fill-onereward-outpaint-XeWZ1JnLJ28Aj2ke5EDg-makisekurisu-openart.ai.json","UnetLoaderGGUF"
"flux1CannyDevFp8_v10.safetensors","workflows\Flux ControlNet Canny.json","UNETLoader"
"flux1DepthDevFp8_v10.safetensors","workflows\Flux ControlNet to SDXL to Refiner to Upscale to Flux.json","UNETLoader"
"flux1DepthDevFp8_v10.safetensors","workflows-png\ComfyUI_00201_.png","Load Diffusion Model (UNETLoader)"
"flux1DepthDevFp8_v10.safetensors","workflows-png\ComfyUI_00173_.png","Load Diffusion Model (UNETLoader)"
"flux1DepthDevFp8_v10.safetensors","workflows\Flux ControlNet Depth.json","UNETLoader"
"flux1-dev-kontext_fp8_scaled.safetensors","workflows\workflow-kontext-oldify-lora-age-change-92CqacLsJGi8vWni6Uve-leeguandong-openart.ai.json","UNETLoader"
"flux1-dev-Q8_0.gguf","workflows\workflow-flux-easy-outpaint-1xXT0seYHZimYrWnHqPM-makisekurisu-openart.ai.json","UnetLoaderGGUF"
"flux1-kontext-dev-Q6_K.gguf","workflows\Vantage-DreamOmni2.json","UnetLoaderGGUF"
"flux1-kontext-dev-Q6_K.gguf","png-outputs\i_00008_.png","Unet Loader (GGUF) (UnetLoaderGGUF)"
"flux1-redux-dev.safetensors","workflows\Flux1 Redux Two Image + Prompt.json","StyleModelLoader"
"flux1-schnell-fp8-e4m3fn.safetensors","workflows\schnell_claude_reorg.json","UNETLoader"
"flux1-schnell-fp8-e4m3fn.safetensors","workflows\schnell_claude.json","UNETLoader"
"FLUX2\LyNiaZ53Tudg0J6sT8Xbx_pytorch_lora_weights_comfy_converted.safetensors","png-outputs\Flux2klein4b_00006_.png","Load LoRA (LoraLoaderModelOnly)"
"FLUX2\LyNiaZ53Tudg0J6sT8Xbx_pytorch_lora_weights_comfy_converted.safetensors","png-outputs\Flux2klein4b_00007_.png","Load LoRA (LoraLoaderModelOnly)"
"flux2-dev-nvfp4-mixed.safetensors","workflows\Flux.2 Dev Image Edit.json","UNETLoader"
"flux-2-klein-4b.safetensors","workflows\902ct - Flux2 Klein 4b OutPaint Lora - Resizer.json","UNETLoader"
"flux-2-klein-4b.safetensors","workflows\903ct - Flux2 Klein 4b OutPaint Lora - STD.json","UNETLoader"
"flux-2-klein-4b.safetensors","workflows\901 - Flux2 Klein 9b OutPaint BAD Lora.json","UNETLoader"
"flux-2-klein-4b.safetensors","workflows\Flux2 Klein 4b OutPaint Lora.json","UNETLoader"
"flux-2-klein-4b.safetensors","workflows\900 - Flux2 Klein 4b OutPaint Lora - Original.json","UNETLoader"
"flux-2-klein-4B-outpaint-lora.safetensors","workflows\Flux2 Klein 4b OutPaint Lora.json","LoraLoaderModelOnly"
"flux-2-klein-9b-kv-Q3_K_M.gguf","workflows\Vantage_Flux2_Klein_9b_kv.json","UnetLoaderGGUF"
"flux-2-klein-9b-kv-Q3_K_M.gguf","workflows\825 Change Background and More - Flux2 Klein 9b kv.json","UnetLoaderGGUF"
"Flux2-Klein-9B-True-bf16.safetensors","workflows-png\BunnyWinter.png","Load Diffusion Model (UNETLoader)"
"flux-ae.safetensors","workflows\workflow-flux-controlnet-upscale-XsEKTG1cvnRXYdsPsQVc-cychenyue-openart.ai.json","VAELoader"
"flux-fp8.safetensors","workflows-png\flux_fill_inpaint_input.png","CheckpointLoaderSimple"
"fluxmania\svdq-int4_r32-fluxmania-legacy.safetensors","workflows\4 Nunchaku Fluxmania Upscaler.json","NunchakuFluxDiTLoader"
"Hoko-v0.9.safetensors","workflows\workflow-photos-to-manga-style-3CTEJ480CyJ6QNruEcvy-norsizu-openart.aiM.json","LoraLoader"
"Hoko-v0.9.safetensors","workflows\workflow-photos-to-manga-style-3CTEJ480CyJ6QNruEcvy-norsizu-openart.ai.json","LoraLoader"
"IPAdapter_image_encoder_sd15.safetensors","workflows\workflow-ipadapter-masking-pz0rXAidFCTK2EEmUB1X-openart-openart.ai.json","CLIPVisionLoader"
"IPAdapter_image_encoder_sd15.safetensors","workflows\workflow-ipadapter-face-XawUsrzeX2ost6XiVtNP-openart-openart.ai.json","CLIPVisionLoader"
"IPAdapter_image_encoder_sd15.safetensors","workflows\workflow-ipadapter-batches-uxH7XEmMuKTAC0sfr8s1-openart-openart.ai.json","CLIPVisionLoader"
"IPAdapter_image_encoder_sd15.safetensors","workflows\workflow-ipadapter-inpainting-SwnT5jEA2mQ9l76l4oTi-openart-openart.ai.json","CLIPVisionLoader"
"ip-adapter_sd15.safetensors","workflows\workflow-ipadapter-batches-uxH7XEmMuKTAC0sfr8s1-openart-openart.ai.json","IPAdapterModelLoader"
"ip-adapter_sd15.safetensors","workflows\workflow-basic-ipadapter-8H0mGG5dOFQCuslp2qQv-openart-openart.ai.json","IPAdapterModelLoader"
"ip-adapter-plus_sd15.safetensors","workflows\workflow-ipadapter-inpainting-SwnT5jEA2mQ9l76l4oTi-openart-openart.ai.json","IPAdapterModelLoader"
"ip-adapter-plus_sd15.safetensors","workflows\workflow-ipadapter-masking-pz0rXAidFCTK2EEmUB1X-openart-openart.ai.json","IPAdapterModelLoader"
"juggernautXL_juggXIByRundiffusion.safetensors","workflows\workflow-flux-outpaint-yA4J92GIBHFaOsY0CnVx-weasel_dimpled_56-openart.ai.json","CheckpointLoaderSimple"
"juggernautXL_juggXIByRundiffusion.safetensors","workflows-png\ComfyUI_00122_sdxl.png","Load Checkpoint (CheckpointLoaderSimple)"
"juggernautXL_juggXIByRundiffusion.safetensors","workflows-png\ComfyUI_00201_.png","Load Checkpoint (CheckpointLoaderSimple)"
"juggernautXL_juggXIByRundiffusion.safetensors","workflows\workflow-flux-outpaint-pro-M3OEFh46Ojtb6RcdOCsI-myaiforce-openart.ai.json","CheckpointLoaderSimple"
"juggernautXL_juggXIByRundiffusion.safetensors","workflows\Flux ControlNet to SDXL to Refiner to Upscale to Flux.json","CheckpointLoaderSimple"
"Luc_meqemeqe.safetensors","workflows\nunchaku-Z-image_to_SDXL.json","CheckpointLoaderSimple"
"mistral_3_small_flux2_fp4_mixed.safetensors","workflows\Flux.2 Dev Image Edit.json","CLIPLoader"
"more_details.safetensors","workflows\workflow-basic-lora-workflow-7YARVB8mANBPGbzqpWfV-openart-openart.ai.json","LoraLoader"
"morgan.safetensors","workflows\workflow-hyper-realistic-face-swap-NHak5yfr3oLLrQMY0Ogc-iahmedabdelnaby-openart.ai.json","ReActorLoadFaceModel"
"nunchaku\svdq-fp4_r128-z-image-turbo.safetensors","workflows\nunchaku-Z-image_to_SDXL.json","NunchakuZImageDiTLoader"
"Oldify.safetensors","workflows\workflow-kontext-oldify-lora-age-change-92CqacLsJGi8vWni6Uve-leeguandong-openart.ai.json","LoraLoaderModelOnly"
"OpenPoseXL2.safetensors","workflows\workflow-hyper-realistic-face-swap-NHak5yfr3oLLrQMY0Ogc-iahmedabdelnaby-openart.ai.json","ControlNetLoader"
"pixel_art_style_z_image_turbo.safetensors","workflows\image_z_image_turbo_factory.json","LoraLoaderModelOnly"
"pixel_art_style_z_image_turbo.safetensors","workflows\image_z_image_turbo_factoryZZZ.json","LoraLoaderModelOnly"
"Pixel_Art_XL.safetensors","workflows\external_Pixelate.json","LoraLoaderModelOnly"
"pixel-art-xl-v1.1.safetensors","workflows\external_Pixelate.json","LoraLoaderModelOnly"
"pulid_flux_v0.9.0.safetensors","workflows\pluid_fluid_test.json","PulidFluxModelLoader"
"pulid_flux_v0.9.0.safetensors","workflows\pluid_fluid_test2.json","PulidFluxModelLoader"
"pulid_flux_v0.9.0.safetensors","workflows\pluid_fluid_test3.json","PulidFluxModelLoader"
"Qwen\Qwen-Rapid-AIO-v1.safetensors","workflows\Qwen-Rapid-AIO.json","CheckpointLoaderSimple"
"qwen_3_8b.safetensors","workflows\flux-2-klein-9B-360-erp-outpaint.json","CLIPLoader"
"qwen_image_edit_2511_bf16.safetensors","png-outputs\Fredy27_qween2511_00022_.png","Load Diffusion Model (UNETLoader)"
"qwen_image_edit_2511_bf16.safetensors","png-outputs\Fredy27_qween2511_00029_.png","Load Diffusion Model (UNETLoader)"
"qwen_image_edit_2511_bf16.safetensors","png-outputs\Fredy27_qween2511_00031_.png","Load Diffusion Model (UNETLoader)"
"qwen_image_edit_2511_bf16.safetensors","png-outputs\Fredy27_qween2511_00024_.png","Load Diffusion Model (UNETLoader)"
"qwen_image_edit_2511_bf16.safetensors","png-outputs\Fredy27_qween2511_00025_.png","Load Diffusion Model (UNETLoader)"
"qwen_image_edit_2511_bf16.safetensors","png-outputs\Fredy27_qween2511_00030_.png","Load Diffusion Model (UNETLoader)"
"qwen_image_edit_2511_bf16.safetensors","png-outputs\Fredy27_qween2511_00023_.png","Load Diffusion Model (UNETLoader)"
"qwen_image_edit_2511_bf16.safetensors","png-outputs\Fredy27_qween2511_00034_.png","Load Diffusion Model (UNETLoader)"
"qwen_image_edit_2511_bf16.safetensors","png-outputs\Fredy27_qween2511_00035_.png","Load Diffusion Model (UNETLoader)"
"qwen_image_edit_2511_bf16.safetensors","png-outputs\Fredy27_qween2511_00019_.png","Load Diffusion Model (UNETLoader)"
"qwen_image_edit_2511_bf16.safetensors","png-outputs\Fredy27_qween2511_00020_.png","Load Diffusion Model (UNETLoader)"
"qwen_image_edit_2511_bf16.safetensors","png-outputs\Fredy27_qween2511_00021_.png","Load Diffusion Model (UNETLoader)"
"Qwen3-4B-Q8_0.gguf","png-outputs\ComfyUI_00015_.png","CLIPLoader (GGUF) (CLIPLoaderGGUF)"
"Qwen3-4B-Q8_0.gguf","png-outputs\ComfyUI_00016_.png","CLIPLoader (GGUF) (CLIPLoaderGGUF)"
"Qwen3-4B-Q8_0.gguf","png-outputs\ComfyUI_00017_.png","CLIPLoader (GGUF) (CLIPLoaderGGUF)"
"Qwen3-4B-Q8_0.gguf","png-outputs\ComfyUI_00001_ copy.png","CLIPLoader (GGUF) (CLIPLoaderGGUF)"
"Qwen3-4B-Q8_0.gguf","png-outputs\ComfyUI_00003_.png","CLIPLoader (GGUF) (CLIPLoaderGGUF)"
