"category","sub_folder","filename","extension","size_gb","size_mb","size_bytes","file_date","full_path","relative_path"
"diffusion_models","Qwen2509","qwen_image_edit_2509_fp8_e4m3fn.safetensors","safetensors","19.028","19484.2","20430698424","2026-01-23 19:15","C:\ComfyUI_Models\models\diffusion_models\Qwen2509\qwen_image_edit_2509_fp8_e4m3fn.safetensors","diffusion_models\Qwen2509\qwen_image_edit_2509_fp8_e4m3fn.safetensors"
"diffusion_models","Qwen2509","Qwen-Image-Edit-2509-Q6_K.gguf","gguf","15.669","16045.6","16824990240","2026-01-23 19:33","C:\ComfyUI_Models\models\diffusion_models\Qwen2509\Qwen-Image-Edit-2509-Q6_K.gguf","diffusion_models\Qwen2509\Qwen-Image-Edit-2509-Q6_K.gguf"
"diffusion_models","Qwen2509","qwen-image-edit-2511-Q8_0.gguf","gguf","20.267","20753.7","21761817184","2026-01-26 20:43","C:\ComfyUI_Models\models\diffusion_models\Qwen2509\qwen-image-edit-2511-Q8_0.gguf","diffusion_models\Qwen2509\qwen-image-edit-2511-Q8_0.gguf"
"diffusion_models","Z-Image","z_image_bf16.safetensors","safetensors","11.464","11739.6","12309866400","2026-01-30 16:22","C:\ComfyUI_Models\models\diffusion_models\Z-Image\z_image_bf16.safetensors","diffusion_models\Z-Image\z_image_bf16.safetensors"
"diffusion_models","Z-Image","z_image_turbo_bf16.safetensors","safetensors","11.464","11739.6","12309866400","2026-01-11 14:27","C:\ComfyUI_Models\models\diffusion_models\Z-Image\z_image_turbo_bf16.safetensors","diffusion_models\Z-Image\z_image_turbo_bf16.safetensors"
"diffusion_models","Z-Image","z-image-turbo_fp8_scaled_e5m2_KJ.safetensors","safetensors","5.735","5872.8","6158115074","2026-01-20 21:36","C:\ComfyUI_Models\models\diffusion_models\Z-Image\z-image-turbo_fp8_scaled_e5m2_KJ.safetensors","diffusion_models\Z-Image\z-image-turbo_fp8_scaled_e5m2_KJ.safetensors"
"diffusion_models","Z-Image","z-image-turbo-q4_k_s.gguf","gguf","4.038","4134.4","4335245376","2026-01-20 21:48","C:\ComfyUI_Models\models\diffusion_models\Z-Image\z-image-turbo-q4_k_s.gguf","diffusion_models\Z-Image\z-image-turbo-q4_k_s.gguf"
"dreamomni2","","model.safetensors","safetensors","5.494","5626.3","5899606704","2026-01-15 12:30","C:\ComfyUI_Models\models\dreamomni2\model.safetensors","dreamomni2\model.safetensors"
"facexlib","","detection_Resnet50_Final.pth","pth","0.102","104.4","109497761","2026-01-15 00:18","C:\ComfyUI_Models\models\facexlib\detection_Resnet50_Final.pth","facexlib\detection_Resnet50_Final.pth"
"facexlib","","parsing_bisenet.pth","pth","0.05","50.8","53289463","2026-01-15 00:18","C:\ComfyUI_Models\models\facexlib\parsing_bisenet.pth","facexlib\parsing_bisenet.pth"
"facexllib","","detection_Resnet50_Final.pth","pth","0.102","104.4","109497761","2026-01-14 23:10","C:\ComfyUI_Models\models\facexllib\detection_Resnet50_Final.pth","facexllib\detection_Resnet50_Final.pth"
"facexllib","","parsing_bisenet.pth","pth","0.05","50.8","53289463","2026-01-14 23:10","C:\ComfyUI_Models\models\facexllib\parsing_bisenet.pth","facexllib\parsing_bisenet.pth"
"facexllib","","parsing_parsenet.pth","pth","0.079","81.4","85331193","2026-01-14 23:10","C:\ComfyUI_Models\models\facexllib\parsing_parsenet.pth","facexllib\parsing_parsenet.pth"
"ipadapter - Copy","","ip-adapter-faceid-plusv2_sd15.bin","bin","0.146","149.3","156558509","2026-01-17 15:43","C:\ComfyUI_Models\models\ipadapter - Copy\ip-adapter-faceid-plusv2_sd15.bin","ipadapter - Copy\ip-adapter-faceid-plusv2_sd15.bin"
"ipadapter - Copy","","ip-adapter-faceid-plusv2_sdxl.bin","bin","1.385","1418.6","1487555181","2026-01-17 16:34","C:\ComfyUI_Models\models\ipadapter - Copy\ip-adapter-faceid-plusv2_sdxl.bin","ipadapter - Copy\ip-adapter-faceid-plusv2_sdxl.bin"
"ipadapter - Copy","","ip-adapter-plus-face_sd15.safetensors","safetensors","0.091","93.6","98183288","2026-01-17 16:05","C:\ComfyUI_Models\models\ipadapter - Copy\ip-adapter-plus-face_sd15.safetensors","ipadapter - Copy\ip-adapter-plus-face_sd15.safetensors"
"ipadapter","","ip-adapter-faceid_sdxl.bin","bin","0.998","1021.5","1071149741","2026-01-18 15:47","C:\ComfyUI_Models\models\ipadapter\ip-adapter-faceid_sdxl.bin","ipadapter\ip-adapter-faceid_sdxl.bin"
"liveportrait","","appearance_feature_extractor.safetensors","safetensors","0.003","3.2","3361936","2026-01-16 23:09","C:\ComfyUI_Models\models\liveportrait\appearance_feature_extractor.safetensors","liveportrait\appearance_feature_extractor.safetensors"
"liveportrait","","motion_extractor.safetensors","safetensors","0.105","107.3","112496256","2026-01-16 23:09","C:\ComfyUI_Models\models\liveportrait\motion_extractor.safetensors","liveportrait\motion_extractor.safetensors"
"liveportrait","","spade_generator.safetensors","safetensors","0.207","211.5","221771768","2026-01-16 23:09","C:\ComfyUI_Models\models\liveportrait\spade_generator.safetensors","liveportrait\spade_generator.safetensors"
"liveportrait","","stitching_retargeting_module.safetensors","safetensors","0.001","0.9","911836","2026-01-16 23:09","C:\ComfyUI_Models\models\liveportrait\stitching_retargeting_module.safetensors","liveportrait\stitching_retargeting_module.safetensors"
"liveportrait","","warping_module.safetensors","safetensors","0.17","173.7","182158564","2026-01-16 23:09","C:\ComfyUI_Models\models\liveportrait\warping_module.safetensors","liveportrait\warping_module.safetensors"
"LLM","GGUF","llama-joycaption-beta-one-hf-llava.IQ4_XS.gguf","gguf","4.176","4276.6","4484364960","2026-02-04 20:17","C:\ComfyUI_Models\models\LLM\GGUF\llama-joycaption-beta-one-hf-llava.IQ4_XS.gguf","LLM\GGUF\llama-joycaption-beta-one-hf-llava.IQ4_XS.gguf"
"LLM","GGUF","llama-joycaption-beta-one-llava-mmproj-model-f16.gguf","gguf","0.817","837.1","877771808","2026-02-04 20:18","C:\ComfyUI_Models\models\LLM\GGUF\llama-joycaption-beta-one-llava-mmproj-model-f16.gguf","LLM\GGUF\llama-joycaption-beta-one-llava-mmproj-model-f16.gguf"
"LLM","llama-joycaption-alpha-two","model-00001-of-00004.safetensors","safetensors","4.576","4685.7","4913321520","2026-02-04 20:05","C:\ComfyUI_Models\models\LLM\llama-joycaption-alpha-two\model-00001-of-00004.safetensors","LLM\llama-joycaption-alpha-two\model-00001-of-00004.safetensors"
"LLM","llama-joycaption-alpha-two","model-00002-of-00004.safetensors","safetensors","4.656","4768.2","4999820888","2026-02-04 20:05","C:\ComfyUI_Models\models\LLM\llama-joycaption-alpha-two\model-00002-of-00004.safetensors","LLM\llama-joycaption-alpha-two\model-00002-of-00004.safetensors"
"LLM","llama-joycaption-alpha-two","model-00003-of-00004.safetensors","safetensors","4.578","4688.2","4915917680","2026-02-04 20:05","C:\ComfyUI_Models\models\LLM\llama-joycaption-alpha-two\model-00003-of-00004.safetensors","LLM\llama-joycaption-alpha-two\model-00003-of-00004.safetensors"
"LLM","llama-joycaption-alpha-two","model-00004-of-00004.safetensors","safetensors","2.822","2890.1","3030480272","2026-02-04 19:55","C:\ComfyUI_Models\models\LLM\llama-joycaption-alpha-two\model-00004-of-00004.safetensors","LLM\llama-joycaption-alpha-two\model-00004-of-00004.safetensors"
"LLM","llama-joycaption-beta-one","model-00001-of-00004.safetensors","safetensors","4.551","4660","4886313648","2026-02-04 20:43","C:\ComfyUI_Models\models\LLM\llama-joycaption-beta-one\model-00001-of-00004.safetensors","LLM\llama-joycaption-beta-one\model-00001-of-00004.safetensors"
"LLM","llama-joycaption-beta-one","model-00002-of-00004.safetensors","safetensors","4.656","4768.2","4999820904","2026-02-04 20:43","C:\ComfyUI_Models\models\LLM\llama-joycaption-beta-one\model-00002-of-00004.safetensors","LLM\llama-joycaption-beta-one\model-00002-of-00004.safetensors"
"LLM","llama-joycaption-beta-one","model-00003-of-00004.safetensors","safetensors","4.578","4688.2","4915917680","2026-02-04 20:43","C:\ComfyUI_Models\models\LLM\llama-joycaption-beta-one\model-00003-of-00004.safetensors","LLM\llama-joycaption-beta-one\model-00003-of-00004.safetensors"
"LLM","llama-joycaption-beta-one","model-00004-of-00004.safetensors","safetensors","2.01","2058.1","2158029896","2026-02-04 20:34","C:\ComfyUI_Models\models\LLM\llama-joycaption-beta-one\model-00004-of-00004.safetensors","LLM\llama-joycaption-beta-one\model-00004-of-00004.safetensors"
"loras","","faceid_sd15_lora.safetensors","safetensors","0.048","48.7","51059544","2026-01-17 15:47","C:\ComfyUI_Models\models\loras\faceid_sd15_lora.safetensors","loras\faceid_sd15_lora.safetensors"
"loras","FLUX","claymation-000012.safetensors","safetensors","0.018","18.4","19267000","2026-01-12 14:13","C:\ComfyUI_Models\models\loras\FLUX\claymation-000012.safetensors","loras\FLUX\claymation-000012.safetensors"
"loras","FLUX","dreamomni2_edit_lora.safetensors","safetensors","1.338","1369.6","1436153968","2026-01-15 13:52","C:\ComfyUI_Models\models\loras\FLUX\dreamomni2_edit_lora.safetensors","loras\FLUX\dreamomni2_edit_lora.safetensors"
"loras","FLUX","dreamomni2_gen_lora.safetensors","safetensors","1.338","1369.6","1436153968","2026-01-15 13:45","C:\ComfyUI_Models\models\loras\FLUX\dreamomni2_gen_lora.safetensors","loras\FLUX\dreamomni2_gen_lora.safetensors"
"loras","FLUX","Flux Color Pop Sketch LoRA_v1.0.safetensors","safetensors","0.285","292.2","306426864","2026-01-16 18:42","C:\ComfyUI_Models\models\loras\FLUX\Flux Color Pop Sketch LoRA_v1.0.safetensors","loras\FLUX\Flux Color Pop Sketch LoRA_v1.0.safetensors"
"loras","FLUX","FLUX.1-Turbo-Alpha.safetensors","safetensors","0.646","661.9","694082424","2026-01-15 11:47","C:\ComfyUI_Models\models\loras\FLUX\FLUX.1-Turbo-Alpha.safetensors","loras\FLUX\FLUX.1-Turbo-Alpha.safetensors"
"loras","FLUX","Master-Claymation.safetensors","safetensors","0.571","584.4","612747224","2026-01-12 14:18","C:\ComfyUI_Models\models\loras\FLUX\Master-Claymation.safetensors","loras\FLUX\Master-Claymation.safetensors"
"loras","FLUX2","Flux_2-Turbo-LoRA_comfyui.safetensors","safetensors","2.571","2632.9","2760814880","2026-03-09 21:08","C:\ComfyUI_Models\models\loras\FLUX2\Flux_2-Turbo-LoRA_comfyui.safetensors","loras\FLUX2\Flux_2-Turbo-LoRA_comfyui.safetensors"
"loras","FLUX2","flux2_berthe_morisot.safetensors","safetensors","0.363","372","390112256","2026-01-01 15:12","C:\ComfyUI_Models\models\loras\FLUX2\flux2_berthe_morisot.safetensors","loras\FLUX2\flux2_berthe_morisot.safetensors"
"loras","FLUX2","Flux2TurboComfyv2.safetensors","safetensors","2.571","2632.9","2760814872","2026-03-09 21:10","C:\ComfyUI_Models\models\loras\FLUX2\Flux2TurboComfyv2.safetensors","loras\FLUX2\Flux2TurboComfyv2.safetensors"
"loras","FLUX2","flux-outpaint-lora.safetensors","safetensors","0.071","72.5","76038936","2026-02-11 20:59","C:\ComfyUI_Models\models\loras\FLUX2\flux-outpaint-lora.safetensors","loras\FLUX2\flux-outpaint-lora.safetensors"
"loras","FLUX2Klien9b","flux-2-klein-9B-360-erp-outpaint-lora_V1.safetensors","safetensors","0.077","79","82867136","2026-03-09 23:05","C:\ComfyUI_Models\models\loras\FLUX2Klien9b\flux-2-klein-9B-360-erp-outpaint-lora_V1.safetensors","loras\FLUX2Klien9b\flux-2-klein-9B-360-erp-outpaint-lora_V1.safetensors"
"loras","FLUX2Klien9b","Klein-consistency.safetensors","safetensors","0.309","316","331379600","2026-03-22 15:12","C:\ComfyUI_Models\models\loras\FLUX2Klien9b\Klein-consistency.safetensors","loras\FLUX2Klien9b\Klein-consistency.safetensors"
"loras","","ip-adapter-faceid_sd15_lora.safetensors","safetensors","0.048","48.7","51059544","2026-01-17 15:47","C:\ComfyUI_Models\models\loras\ip-adapter-faceid_sd15_lora.safetensors","loras\ip-adapter-faceid_sd15_lora.safetensors"
"loras","","ip-adapter-faceid-plusv2_sd15_lora.safetensors","safetensors","0.048","48.7","51059544","2026-01-17 16:03","C:\ComfyUI_Models\models\loras\ip-adapter-faceid-plusv2_sd15_lora.safetensors","loras\ip-adapter-faceid-plusv2_sd15_lora.safetensors"
"loras","","ip-adapter-faceid-plusv2_sdxl_lora.safetensors","safetensors","0.346","354.6","371842896","2026-01-17 16:34","C:\ComfyUI_Models\models\loras\ip-adapter-faceid-plusv2_sdxl_lora.safetensors","loras\ip-adapter-faceid-plusv2_sdxl_lora.safetensors"
"loras","Qwen Image Edit 2511","Qwen-Image-Edit-2511-Lightning-4steps-V1.0-bf16.safetensors","safetensors","0.791","810.2","849608296","2026-01-26 20:56","C:\ComfyUI_Models\models\loras\Qwen Image Edit 2511\Qwen-Image-Edit-2511-Lightning-4steps-V1.0-bf16.safetensors","loras\Qwen Image Edit 2511\Qwen-Image-Edit-2511-Lightning-4steps-V1.0-bf16.safetensors"
"loras","Qwen2509","Qwen-Image-Lightning-4steps-V2.0.safetensors","safetensors","1.582","1620.2","1698951104","2026-01-23 19:11","C:\ComfyUI_Models\models\loras\Qwen2509\Qwen-Image-Lightning-4steps-V2.0.safetensors","loras\Qwen2509\Qwen-Image-Lightning-4steps-V2.0.safetensors"
"loras","SD1.5","blindbox_v1_mix.safetensors","safetensors","0.141","144.1","151108831","2026-01-02 17:34","C:\ComfyUI_Models\models\loras\SD1.5\blindbox_v1_mix.safetensors","loras\SD1.5\blindbox_v1_mix.safetensors"
"loras","SD1.5","CakeStyle.safetensors","safetensors","0.141","144.1","151113840","2026-01-20 20:58","C:\ComfyUI_Models\models\loras\SD1.5\CakeStyle.safetensors","loras\SD1.5\CakeStyle.safetensors"
"loras","SDXL","Aether_Cloud_v1.safetensors","safetensors","0.634","649.7","681247786","2026-01-10 14:36","C:\ComfyUI_Models\models\loras\SDXL\Aether_Cloud_v1.safetensors","loras\SDXL\Aether_Cloud_v1.safetensors"
"loras","SDXL","Aether_Fire_v1_SDXL_LoRA.safetensors","safetensors","0.634","649.7","681247786","2026-01-10 14:36","C:\ComfyUI_Models\models\loras\SDXL\Aether_Fire_v1_SDXL_LoRA.safetensors","loras\SDXL\Aether_Fire_v1_SDXL_LoRA.safetensors"
"loras","SDXL","Caricatures_V2-000007.safetensors","safetensors","0.425","435.4","456498244","2026-01-16 21:54","C:\ComfyUI_Models\models\loras\SDXL\Caricatures_V2-000007.safetensors","loras\SDXL\Caricatures_V2-000007.safetensors"
"loras","SDXL","chahua.safetensors","safetensors","0.159","162.6","170543468","2026-01-16 21:23","C:\ComfyUI_Models\models\loras\SDXL\chahua.safetensors","loras\SDXL\chahua.safetensors"
"loras","SDXL","CLAYMATE_V2.03_.safetensors","safetensors","0.85","870.3","912561180","2026-01-02 16:57","C:\ComfyUI_Models\models\loras\SDXL\CLAYMATE_V2.03_.safetensors","loras\SDXL\CLAYMATE_V2.03_.safetensors"
"loras","SDXL","Coloring_book_-_LineArt.safetensors","safetensors","0.213","217.9","228454084","2026-01-16 22:15","C:\ComfyUI_Models\models\loras\SDXL\Coloring_book_-_LineArt.safetensors","loras\SDXL\Coloring_book_-_LineArt.safetensors"
"loras","SDXL","ColoringBookRedmond-ColoringBook-ColoringBookAF.safetensors","safetensors","0.159","162.6","170540036","2026-01-16 21:43","C:\ComfyUI_Models\models\loras\SDXL\ColoringBookRedmond-ColoringBook-ColoringBookAF.safetensors","loras\SDXL\ColoringBookRedmond-ColoringBook-ColoringBookAF.safetensors"
"loras","SDXL","Da_Vinci-000008.safetensors","safetensors","0.213","217.9","228466156","2026-01-16 22:47","C:\ComfyUI_Models\models\loras\SDXL\Da_Vinci-000008.safetensors","loras\SDXL\Da_Vinci-000008.safetensors"
"loras","SDXL","EldritchCharcoalXL1.1.safetensors","safetensors","0.099","101.8","106733624","2026-01-16 22:07","C:\ComfyUI_Models\models\loras\SDXL\EldritchCharcoalXL1.1.safetensors","loras\SDXL\EldritchCharcoalXL1.1.safetensors"
"loras","SDXL","Glass.safetensors","safetensors","0.634","649.7","681235628","2026-01-10 15:10","C:\ComfyUI_Models\models\loras\SDXL\Glass.safetensors","loras\SDXL\Glass.safetensors"
"loras","SDXL","liujiyou-SDXL.safetensors","safetensors","0.213","217.9","228455028","2026-01-16 21:48","C:\ComfyUI_Models\models\loras\SDXL\liujiyou-SDXL.safetensors","loras\SDXL\liujiyou-SDXL.safetensors"
"loras","SDXL","oil painting.safetensors","safetensors","0.634","649.7","681248108","2026-01-16 21:06","C:\ComfyUI_Models\models\loras\SDXL\oil painting.safetensors","loras\SDXL\oil painting.safetensors"
